tdays_to_expiry,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,mean,median,min,max
10,7.379399999999999,12.306000000000006,3.204599999999992,10.016999999999989,5.291999999999995,5.233200000000002,3.5699999999999985,-6.522599999999999,6.266399999999981,7.770000000000001,7.648200000000025,9.189599999999995,15.25019999999999,9.928800000000006,,6.895199999999998,7.513800000000012,-6.522599999999999,15.25019999999999
11,7.442400000000001,12.637799999999999,2.7593999999999665,9.798599999999976,5.6909999999999785,4.56120000000002,2.2553999999999848,-7.043399999999988,5.9052000000000024,8.269800000000032,7.350000000000011,9.2442,14.368199999999973,9.252599999999989,,6.606599999999995,7.396200000000006,-7.043399999999988,14.368199999999973
12,8.110200000000011,11.688600000000008,3.54900000000001,10.122000000000003,5.602799999999999,4.073999999999999,1.3481999999999914,-7.450800000000001,5.699399999999997,7.917000000000013,7.702799999999972,8.71920000000001,13.7256,8.845200000000006,,6.403800000000002,7.809899999999993,-7.450800000000001,13.7256
13,8.551200000000009,11.159400000000012,4.3260000000000085,9.214799999999974,5.741400000000011,4.2336,1.3398000000000296,-7.627199999999998,6.2076000000000064,7.026600000000019,7.324800000000014,8.824199999999989,13.939800000000004,8.265599999999994,,6.323400000000006,7.175700000000017,-7.627199999999998,13.939800000000004
14,8.652000000000017,10.861199999999997,4.178999999999978,8.555399999999981,6.0102,3.9899999999999896,1.3188000000000226,-7.770000000000003,6.581399999999993,7.639800000000006,7.522199999999983,8.71080000000001,14.019600000000004,7.711199999999999,,6.284399999999998,7.580999999999994,-7.770000000000003,14.019600000000004
15,7.391999999999988,10.600800000000026,4.057199999999982,7.459200000000018,5.871599999999988,4.880400000000022,1.4742000000000335,-7.9506000000000085,6.678000000000011,7.665000000000005,6.489000000000003,9.126599999999975,13.88100000000001,7.517999999999994,,6.081600000000003,7.034999999999999,-7.9506000000000085,13.88100000000001
16,6.648599999999986,9.90779999999998,4.254600000000026,7.862399999999992,6.3251999999999935,5.006400000000008,1.306199999999996,-6.9384000000000015,6.85440000000001,8.231999999999989,6.090000000000001,8.38320000000001,14.704199999999993,7.484399999999997,,6.151499999999999,6.751499999999998,-6.9384000000000015,14.704199999999993
17,7.585199999999985,9.84479999999996,4.120200000000003,7.484399999999997,6.909000000000012,5.266800000000017,1.2179999999999964,-7.303800000000006,7.677600000000012,8.253000000000014,6.064799999999966,7.685999999999993,14.015399999999996,7.849800000000002,,6.190799999999997,7.534799999999992,-7.303800000000006,14.015399999999996
18,7.182000000000011,9.676800000000016,3.481799999999999,7.887600000000008,6.883800000000034,5.690999999999979,1.8984000000000147,-7.564199999999998,6.934199999999992,8.106000000000002,6.0017999999999825,7.001400000000022,13.192199999999993,7.610400000000019,,5.998800000000004,6.967800000000007,-7.564199999999998,13.192199999999993
19,6.8879999999999875,8.64779999999999,3.2550000000000052,7.513800000000022,6.707400000000035,5.577599999999983,1.5119999999999827,-5.94719999999999,6.9089999999999945,8.933399999999995,6.3462000000000005,7.005600000000012,13.692000000000004,8.261399999999995,,6.093000000000002,6.898499999999991,-5.94719999999999,13.692000000000004
20,6.6696000000000115,8.332800000000015,2.6334000000000177,7.244999999999995,7.433999999999984,6.0102,1.5414000000000074,-5.514600000000016,6.581399999999993,9.47100000000001,6.623400000000007,6.858600000000019,13.7088,9.1476,,6.195900000000003,6.764100000000015,-5.514600000000016,13.7088
21,7.375200000000008,8.773800000000032,1.86899999999999,7.748999999999996,7.106400000000001,6.123600000000034,1.0667999999999944,-4.8677999999999955,6.892200000000015,9.23160000000001,7.0266,6.950999999999971,13.280399999999993,9.23159999999998,,6.272100000000003,7.0665000000000004,-4.8677999999999955,13.280399999999993
22,7.497000000000004,9.009000000000025,1.461600000000007,8.8032,6.971999999999998,6.0227999999999895,1.2810000000000175,-5.430600000000018,7.261799999999993,8.96700000000001,7.177800000000002,6.669599999999974,12.608399999999993,9.48360000000001,,6.270300000000001,7.2197999999999976,-5.430600000000018,12.608399999999993
23,8.416800000000023,8.895600000000027,1.8017999999999974,9.256800000000005,7.799400000000007,6.0858000000000105,1.881599999999998,-4.834200000000008,7.299600000000017,9.353400000000004,7.064400000000005,8.0598,11.991000000000014,9.563400000000009,,6.616800000000008,7.929600000000003,-4.834200000000008,11.991000000000014
24,7.984200000000007,9.483600000000019,1.9949999999999948,9.130800000000002,7.5306,5.989199999999993,1.5246000000000093,-5.338199999999999,6.791400000000007,8.811599999999999,6.488999999999966,8.11860000000003,11.844000000000001,9.512999999999998,,6.419100000000002,7.757400000000003,-5.338199999999999,11.844000000000001
25,8.30339999999999,10.121999999999968,2.326800000000005,8.958600000000011,7.681799999999985,5.770799999999999,1.6589999999999945,-5.254200000000001,6.535199999999989,9.353400000000004,6.346199999999982,7.97159999999998,11.705400000000008,10.16820000000001,,6.546299999999995,7.826699999999983,-5.254200000000001,11.705400000000008
26,8.147999999999998,10.31100000000001,2.3603999999999825,8.954400000000003,7.404599999999997,5.371800000000015,1.5833999999999842,-4.027800000000004,7.207200000000008,8.992200000000008,6.220199999999996,8.223599999999971,11.474400000000005,10.281600000000015,,6.607499999999999,7.776299999999997,-4.027800000000004,11.474400000000005
27,8.433600000000023,10.48740000000003,2.251199999999976,9.5718,6.686399999999991,5.779199999999998,0.9114000000000209,-3.8429999999999866,7.27860000000001,8.702400000000031,6.245400000000012,7.732199999999978,11.230799999999995,10.340399999999999,,6.557700000000006,7.5053999999999945,-3.8429999999999866,11.230799999999995
28,8.399999999999988,9.890999999999964,1.7555999999999932,9.731400000000018,7.6986,6.392399999999986,0.4241999999999999,-5.023199999999989,7.337400000000003,8.664600000000025,6.686399999999991,7.056000000000006,10.974599999999995,9.760800000000007,,6.410699999999999,7.518000000000002,-5.023199999999989,10.974599999999995
29,8.126999999999992,9.609599999999968,1.188600000000009,9.828,8.46300000000001,6.039600000000006,1.0752000000000121,-5.132399999999995,6.640199999999987,9.454199999999993,6.850199999999983,7.362600000000019,10.470600000000012,9.193800000000003,,6.3693,7.744800000000005,-5.132399999999995,10.470600000000012
30,8.106000000000002,10.344600000000026,1.121399999999979,10.310999999999993,9.072000000000008,5.964000000000015,1.239000000000022,-4.615800000000005,6.59820000000001,9.638999999999974,7.5558000000000165,7.387799999999998,9.937199999999986,9.055200000000001,,6.551100000000003,7.830900000000009,-4.615800000000005,10.344600000000026
31,7.652400000000034,10.386600000000003,1.2137999999999876,10.226999999999983,9.479400000000009,6.5226,0.9828000000000037,-3.31379999999999,6.770399999999982,9.496200000000009,7.88339999999998,7.694400000000011,9.937200000000006,9.525599999999995,,6.747000000000002,7.7888999999999955,-3.31379999999999,10.386600000000003
32,7.345800000000002,10.663799999999991,1.7136000000000164,11.02500000000001,9.244200000000017,6.581399999999993,1.7555999999999745,-2.0033999999999956,7.345800000000002,9.4836,7.8917999999999795,7.480200000000006,9.109799999999995,9.953999999999995,,6.970799999999999,7.685999999999993,-2.0033999999999956,11.02500000000001
33,7.1946,10.4286,1.0583999999999953,10.277399999999997,8.866199999999983,5.963999999999996,2.1168000000000093,-0.13859999999999495,7.119000000000009,9.81959999999998,8.446200000000012,7.799400000000008,8.87040000000001,10.07999999999998,,6.992999999999999,8.12280000000001,-0.13859999999999495,10.4286
34,6.728400000000024,9.218999999999983,1.2516000000000114,10.499999999999982,8.710799999999992,5.493599999999992,2.188199999999992,-1.0457999999999963,6.232800000000022,9.580200000000017,8.53860000000002,7.778399999999983,9.286199999999994,9.81119999999999,,6.7338,8.158500000000002,-1.0457999999999963,10.499999999999982
35,6.778800000000018,8.601600000000023,0.9239999999999915,10.353000000000005,9.210599999999982,6.123599999999997,2.5746000000000056,-0.9954000000000018,6.266400000000019,9.58439999999997,8.06399999999999,7.597800000000012,9.508799999999997,9.710399999999993,,6.7359,7.830900000000001,-0.9954000000000018,10.353000000000005
36,6.720000000000006,9.189599999999995,0.9449999999999985,11.016600000000007,9.177000000000005,6.497399999999984,2.4066000000000054,-0.14699999999999314,6.295800000000025,9.802800000000023,7.996799999999996,7.652400000000015,10.718400000000013,9.101400000000005,,6.955200000000007,7.8246000000000056,-0.14699999999999314,11.016600000000007
37,6.560400000000005,9.538200000000021,0.30240000000002265,11.293799999999997,8.966999999999992,7.0685999999999956,1.1340000000000057,0.46620000000000594,5.9346000000000085,9.701999999999995,7.555799999999998,7.644000000000016,11.440800000000008,9.790199999999993,,6.957000000000006,7.599900000000007,0.30240000000002265,11.440800000000008
38,6.993000000000004,9.382799999999992,0.17639999999999922,12.26400000000001,8.693999999999992,7.87080000000001,1.902600000000005,-0.5375999999999959,5.707799999999996,9.500400000000017,8.370600000000001,7.883400000000018,10.9158,9.916199999999998,,7.074300000000005,8.12700000000001,-0.5375999999999959,12.26400000000001
39,8.042999999999981,9.160200000000007,0.5963999999999716,12.7092,8.441999999999986,8.164800000000014,2.3016000000000263,-0.7181999999999871,5.686799999999989,9.088800000000006,8.505000000000006,8.36220000000004,11.129999999999987,9.718799999999993,,7.227900000000001,8.402100000000013,-0.7181999999999871,12.7092
40,7.6229999999999905,9.378599999999985,0.7391999999999932,13.385400000000008,8.698200000000021,7.5222000000000016,1.5792000000000126,-0.1889999999999894,5.119799999999986,9.088799999999988,8.517600000000032,7.946399999999983,10.949400000000015,9.555000000000001,,7.136700000000002,8.232000000000006,-0.1889999999999894,13.385400000000008
41,8.143799999999988,10.080000000000009,0.4956000000000014,13.066200000000007,8.320200000000025,8.19840000000003,1.6967999999999996,-0.48299999999999343,5.388599999999975,9.114000000000004,8.668799999999997,8.299199999999999,10.869600000000016,9.40799999999999,,7.233300000000005,8.309700000000012,-0.48299999999999343,13.066200000000007
42,7.328999999999967,10.16400000000002,-0.26039999999999,12.469799999999978,8.114400000000002,8.588999999999995,1.6211999999999893,-0.8190000000000204,5.283600000000015,8.744400000000006,8.635199999999982,7.455000000000009,10.983000000000011,9.05520000000001,,6.954599999999999,8.351699999999997,-0.8190000000000204,12.469799999999978
43,6.837600000000012,10.075799999999981,0.4031999999999556,12.27659999999998,7.593600000000004,8.618400000000001,1.7766000000000188,1.1843999999999903,4.830000000000028,8.840999999999987,9.160200000000007,7.492799999999977,10.865399999999987,8.853600000000004,,7.057799999999994,8.106000000000002,0.4031999999999556,12.27659999999998
44,7.391999999999988,10.395000000000021,-0.24779999999998203,12.53279999999998,7.236600000000033,8.748599999999996,2.1293999999999986,1.8144000000000053,5.275199999999997,8.316000000000017,9.256800000000005,6.959399999999989,10.59239999999999,9.378599999999985,,7.127100000000003,7.854000000000003,-0.24779999999998203,12.53279999999998
45,7.467600000000017,10.697400000000005,-0.2772000000000254,12.238800000000033,7.001400000000004,8.505000000000006,2.6459999999999884,2.4276000000000026,6.1193999999999695,8.672999999999988,9.512999999999987,6.627600000000016,9.970800000000002,8.63939999999999,,7.160699999999999,7.9863000000000115,-0.2772000000000254,12.238800000000033
46,8.61000000000002,10.915800000000019,0.09659999999998004,12.671399999999975,7.832999999999986,8.916600000000017,2.2638000000000025,2.4275999999999938,5.846400000000009,7.87080000000001,10.214399999999994,6.589799999999992,10.529400000000006,8.509200000000014,,7.3782000000000005,8.190000000000012,0.09659999999998004,12.671399999999975
47,8.030400000000029,11.075400000000002,-0.021000000000007013,12.646200000000016,8.236199999999979,8.786400000000002,2.209199999999999,3.3431999999999764,6.791399999999989,7.765799999999994,10.0842,6.631800000000025,10.978800000000003,9.487799999999991,,7.5747,8.133300000000004,-0.021000000000007013,12.646200000000016
48,8.328600000000005,11.046000000000014,-0.5291999999999977,12.969600000000009,7.681800000000002,8.933399999999985,2.335200000000004,3.6791999999999874,5.661599999999973,8.068199999999997,9.995999999999999,6.78299999999999,11.629799999999996,9.496200000000009,,7.577099999999997,8.198400000000001,-0.5291999999999977,12.969600000000009
49,8.122799999999982,10.709999999999996,-1.4994000000000307,12.255599999999994,6.850200000000002,8.904000000000018,2.2974000000000174,4.351200000000007,5.850600000000018,8.122800000000002,9.39120000000001,6.262200000000028,12.062399999999997,9.084599999999988,,7.3404000000000025,8.122799999999991,-1.4994000000000307,12.255599999999994
50,8.778000000000002,10.365600000000015,-1.2264000000000141,12.348000000000003,7.076999999999995,9.025799999999995,2.0747999999999953,4.544400000000003,5.312999999999984,7.988400000000015,9.345000000000006,6.421799999999992,11.390399999999996,9.353400000000006,,7.3427999999999995,8.38320000000001,-1.2264000000000141,12.348000000000003
51,8.240399999999987,10.231200000000012,-2.192400000000001,12.549599999999998,7.043399999999997,9.450000000000003,2.079000000000004,5.25,6.136200000000005,7.866600000000001,9.4836,6.316799999999994,11.43239999999999,9.508799999999997,,7.385399999999999,8.053499999999994,-2.192400000000001,12.549599999999998
52,7.917000000000014,10.453799999999996,-2.6627999999999865,12.398400000000015,7.097999999999983,9.353399999999986,2.373000000000009,5.081999999999982,6.362999999999999,8.240399999999987,8.618400000000001,5.926199999999991,11.617200000000025,9.697799999999987,,7.3197,8.078700000000001,-2.6627999999999865,12.398400000000015
53,7.169400000000022,10.630200000000013,-2.8686000000000105,11.957399999999998,6.883799999999996,8.82839999999998,2.041199999999999,5.565000000000012,6.060599999999976,9.017399999999984,8.47140000000001,5.569200000000021,11.507999999999981,9.336600000000006,,7.154999999999999,7.820400000000015,-2.8686000000000105,11.957399999999998
54,6.749400000000012,9.83219999999999,-2.524200000000011,11.986800000000004,7.345799999999984,8.756999999999996,2.3771999999999993,6.245399999999993,6.274799999999999,8.702400000000031,8.677199999999996,6.488999999999985,11.638199999999976,10.063200000000002,,7.3295999999999975,8.01149999999999,-2.524200000000011,11.986800000000004
55,6.993000000000041,9.790200000000013,-2.809800000000017,12.314400000000042,7.70280000000001,8.597400000000015,2.373000000000009,6.413400000000012,6.585600000000002,8.744399999999988,8.576399999999989,6.426000000000001,12.112800000000009,9.73980000000001,,7.397100000000009,8.1396,-2.809800000000017,12.314400000000042
56,6.7157999999999785,9.592800000000008,-3.1079999999999934,11.982599999999994,7.870799999999991,8.97959999999999,1.8647999999999811,5.695199999999988,6.396599999999995,8.55119999999999,8.714999999999982,6.468000000000015,12.427799999999984,9.9078,,7.289999999999993,8.210999999999991,-3.1079999999999934,12.427799999999984
57,6.073200000000003,8.97539999999999,-2.977799999999961,12.411000000000005,7.463400000000007,9.021600000000024,1.4993999999999748,6.3546,6.43859999999999,8.698200000000003,9.227400000000019,5.560800000000022,11.961599999999988,10.029600000000006,,7.195500000000004,8.080800000000005,-2.977799999999961,12.411000000000005
58,6.45959999999996,8.983800000000027,-3.1038000000000032,12.62939999999998,7.698600000000019,9.185399999999996,1.671600000000021,6.892199999999996,7.064399999999987,9.042600000000002,8.546999999999983,5.455799999999968,11.999399999999975,9.23580000000001,,7.268699999999995,8.122800000000002,-3.1038000000000032,12.62939999999998
59,6.900599999999977,8.72759999999999,-3.4314000000000044,12.154799999999986,7.391999999999989,8.710799999999992,1.482600000000014,7.072799999999986,7.009800000000002,9.172799999999997,8.635200000000019,5.943000000000008,12.71339999999999,9.462600000000013,,7.281899999999996,8.013600000000004,-3.4314000000000044,12.71339999999999
60,6.648599999999986,9.269399999999976,-3.1500000000000075,12.322800000000004,8.068199999999997,8.70660000000001,0.8694000000000068,7.093799999999993,7.534799999999991,8.723400000000002,9.034200000000022,6.623399999999989,12.490800000000004,9.57180000000001,,7.4148,8.387400000000003,-3.1500000000000075,12.490800000000004
61,6.274800000000036,9.042599999999982,-3.779999999999994,12.159000000000013,8.05139999999998,9.038400000000012,0.8232000000000026,7.123199999999999,7.106400000000001,9.004799999999998,9.361800000000024,7.043399999999998,12.062399999999997,9.760799999999998,,7.362300000000004,8.528099999999988,-3.779999999999994,12.159000000000013
62,6.383999999999987,9.101400000000014,-3.431400000000023,11.806199999999997,8.240399999999987,8.362200000000021,0.865199999999998,8.177400000000004,6.493199999999994,9.529800000000003,10.25639999999997,6.299999999999978,12.247200000000031,9.092999999999996,,7.387499999999998,8.301300000000005,-3.431400000000023,12.247200000000031
63,5.867400000000016,9.055199999999992,-3.645600000000009,11.60880000000001,8.639400000000027,8.828399999999988,1.003799999999992,7.900199999999997,7.471800000000007,9.265200000000005,10.781400000000016,6.127799999999987,11.911199999999994,9.114000000000004,,7.423500000000002,8.733900000000007,-3.645600000000009,11.911199999999994
64,5.594399999999981,9.31140000000001,-3.8177999999999805,11.533199999999997,8.66039999999998,7.921200000000004,0.6174000000000159,8.605800000000004,6.992999999999985,9.177000000000005,11.125799999999996,5.4726000000000035,11.961599999999988,8.714999999999993,,7.276499999999999,8.633099999999992,-3.8177999999999805,11.961599999999988
65,6.186600000000037,8.740199999999998,-3.271800000000022,10.701599999999978,8.366399999999992,8.009399999999996,0.7812000000000072,9.378599999999985,7.320600000000005,9.05519999999999,11.33580000000003,5.275199999999997,11.323200000000003,9.210600000000003,,7.3152,8.553299999999995,-3.271800000000022,11.33580000000003
66,6.291599999999997,8.30339999999999,-3.204599999999992,9.924599999999998,8.91239999999999,8.48819999999998,1.7766000000000002,8.925000000000015,7.602000000000021,9.672600000000008,11.176199999999973,5.094600000000008,12.209400000000008,9.370200000000013,,7.4673,8.700299999999984,-3.204599999999992,12.209400000000008
67,6.371399999999979,7.858200000000002,-3.0534000000000274,9.622199999999996,8.244599999999997,8.017800000000022,2.5872000000000135,9.823800000000027,7.526399999999992,9.1308,10.819200000000002,5.275200000000016,12.259800000000002,9.365999999999994,,7.4178,8.13120000000001,-3.0534000000000274,12.259800000000002
68,6.3546,8.101800000000011,-3.2171999999999814,9.080400000000026,9.487800000000009,8.425200000000014,2.4401999999999644,9.924599999999987,7.097999999999983,9.601200000000006,10.638600000000013,5.107200000000016,11.613,9.828,,7.463100000000004,8.75280000000002,-3.2171999999999814,11.613
69,6.312600000000004,8.126999999999992,-3.775800000000004,8.689800000000021,9.30300000000001,8.378999999999982,2.826600000000015,10.554599999999994,7.7741999999999924,8.996399999999998,10.096800000000007,5.9472000000000165,12.478199999999998,9.924599999999998,,7.545300000000003,8.534400000000002,-3.775800000000004,12.478199999999998
70,5.888399999999967,7.828799999999996,-3.196199999999993,9.357599999999994,8.517599999999995,8.769599999999986,2.650200000000016,10.457999999999986,7.9001999999999875,9.114000000000004,10.466400000000004,5.686800000000008,12.331200000000003,9.8448,,7.544099999999996,8.64359999999999,-3.196199999999993,12.331200000000003
71,6.048000000000005,7.639799999999989,-4.460400000000012,9.496200000000027,8.79900000000001,9.701999999999995,1.911000000000004,11.10479999999999,8.332800000000006,9.622200000000014,10.819200000000002,5.586,11.932200000000002,9.580199999999989,,7.579500000000002,9.147600000000018,-4.460400000000012,11.932200000000002
72,6.5645999999999765,6.808199999999987,-4.040400000000003,9.395399999999983,8.815799999999989,9.458400000000012,1.2306000000000044,11.285400000000006,7.879200000000009,9.9876,11.289599999999968,5.413799999999991,12.16740000000003,9.496199999999998,,7.553699999999997,9.105599999999985,-4.040400000000003,12.16740000000003
73,6.224399999999986,5.917799999999992,-3.4103999999999974,9.181199999999977,9.365999999999996,8.925000000000015,1.3229999999999942,10.533599999999987,7.971599999999989,10.096800000000007,10.815000000000012,5.3424000000000085,12.255599999999994,10.185000000000006,,7.480499999999998,9.053099999999997,-3.4103999999999974,12.255599999999994
74,5.699399999999997,6.026999999999998,-2.8938000000000077,9.651599999999982,8.920799999999987,8.777999999999993,1.3397999999999923,9.324000000000009,7.883400000000018,10.5,10.479000000000012,4.905599999999982,11.759999999999973,9.643200000000009,,7.286999999999996,8.84939999999999,-2.8938000000000077,11.759999999999973
75,5.409599999999982,6.484800000000013,-2.557800000000026,10.252199999999998,9.176999999999987,8.819999999999999,1.6254000000000168,8.81159999999998,7.597800000000003,10.302599999999995,11.071200000000012,4.598999999999988,12.02460000000001,9.756600000000017,,7.383899999999998,8.815799999999989,-2.557800000000026,12.02460000000001
76,5.598600000000008,6.094200000000028,-2.1588000000000234,11.235000000000003,9.533999999999995,9.113999999999965,1.9655999999999887,9.013199999999996,6.808200000000024,10.41599999999999,11.033399999999988,4.30920000000001,11.520600000000009,10.063200000000002,,7.467599999999998,9.06359999999998,-2.1588000000000234,11.520600000000009
77,5.762400000000018,6.5100000000000104,-2.36460000000001,10.550400000000012,8.769600000000004,9.378599999999985,2.4275999999999938,8.143799999999999,6.883800000000016,9.9162,10.537800000000004,4.052999999999992,11.877600000000015,10.869599999999997,,7.379700000000002,8.456700000000001,-2.36460000000001,11.877600000000015
78,5.808600000000004,6.337800000000001,-2.482199999999997,10.466399999999986,8.496599999999987,8.996399999999998,2.494800000000005,8.887199999999991,6.803999999999988,10.2438,9.361800000000024,3.830400000000026,12.280800000000028,10.41600000000001,,7.281600000000003,8.69189999999999,-2.482199999999997,12.280800000000028
79,5.825400000000002,6.442800000000018,-2.1377999999999977,10.953600000000005,8.101799999999994,9.176999999999996,2.024400000000001,8.49659999999998,6.841800000000002,10.390799999999992,8.227799999999998,4.304999999999983,12.852000000000022,10.68059999999999,,7.2986999999999975,8.164799999999996,-2.1377999999999977,12.852000000000022
80,5.291999999999995,6.720000000000006,-1.8858000000000068,10.966199999999995,7.534799999999991,9.118199999999995,2.3688000000000002,8.597399999999986,6.463799999999996,10.49579999999999,7.870799999999991,3.5826000000000064,13.028400000000001,10.705799999999996,,7.2041999999999975,7.702799999999991,-1.8858000000000068,13.028400000000001
81,5.317199999999974,7.18200000000003,-2.5578000000000074,11.507999999999981,7.358399999999992,8.819999999999999,2.742599999999987,8.341200000000004,6.245399999999993,9.605399999999996,8.731800000000035,3.6498000000000177,12.684000000000001,10.890599999999994,,7.179899999999998,7.849799999999998,-2.5578000000000074,12.684000000000001
82,5.703600000000025,7.992600000000006,-2.6375999999999893,11.285399999999997,7.4297999999999735,8.958599999999983,2.7006000000000103,8.685599999999994,6.211800000000015,10.218600000000002,8.240400000000006,3.8387999999999876,12.67980000000001,10.9074,,7.301100000000001,8.116500000000006,-2.6375999999999893,12.67980000000001
83,6.283200000000017,7.820400000000015,-3.0533999999999715,10.936800000000007,8.572200000000016,9.475199999999992,2.9148000000000147,9.521400000000005,6.892199999999996,10.122000000000025,8.156399999999998,3.645600000000009,12.667200000000005,10.949399999999988,,7.493100000000007,8.364300000000007,-3.0533999999999715,12.667200000000005
84,6.85440000000001,6.5394000000000165,-3.6203999999999743,11.256000000000029,9.05519999999999,9.302999999999992,2.524199999999974,9.756599999999999,7.085400000000003,9.31140000000003,8.252999999999997,3.8177999999999805,13.171199999999986,10.781399999999996,,7.434900000000001,8.654099999999993,-3.6203999999999743,13.171199999999986
85,6.2831999999999795,6.7704,-3.1121999999999836,11.016600000000007,8.761199999999988,9.479399999999991,2.2763999999999918,8.983799999999999,7.266000000000002,9.000599999999988,7.669200000000013,3.6917999999999944,12.679799999999993,11.08380000000002,,7.2749999999999995,8.215200000000001,-3.1121999999999836,12.679799999999993
86,6.627600000000016,6.266399999999981,-2.9315999999999756,10.760400000000008,7.963199999999981,9.39120000000001,2.9567999999999914,8.626800000000001,7.09800000000002,9.605400000000014,7.492799999999977,3.28440000000003,12.012,12.301799999999988,,7.246800000000003,7.727999999999978,-2.9315999999999756,12.301799999999988
87,7.034999999999999,6.01439999999999,-2.5787999999999958,11.104800000000008,7.509600000000012,9.038399999999992,2.8560000000000025,8.626799999999992,6.7956000000000065,9.239999999999991,7.140000000000016,3.360000000000003,12.255600000000012,12.322799999999996,,7.194300000000003,7.324800000000014,-2.5787999999999958,12.322799999999996
88,7.366800000000028,5.833800000000001,-2.2133999999999894,10.940999999999997,7.627199999999999,9.521400000000007,3.1541999999999977,8.584799999999987,7.139999999999997,9.718799999999991,7.576799999999986,4.531799999999995,13.288799999999991,11.541599999999997,,7.4723999999999995,7.601999999999993,-2.2133999999999894,13.288799999999991
89,7.765799999999956,5.1701999999999995,-1.9445999999999817,10.65540000000001,7.761600000000004,9.605399999999976,2.5494000000000083,7.778399999999992,7.194599999999991,9.66419999999999,7.517999999999993,4.8552000000000435,13.57019999999997,12.037200000000007,,7.441499999999997,7.7636999999999805,-1.9445999999999817,13.57019999999997
90,6.346199999999963,4.292400000000012,-1.4405999999999812,11.60879999999997,8.639399999999991,9.05520000000001,2.175600000000003,7.933800000000003,6.438599999999981,9.013199999999996,7.085400000000012,6.014399999999972,13.7214,11.961600000000017,,7.346099999999995,7.509600000000008,-1.4405999999999812,13.7214
91,6.043799999999978,4.758599999999989,-1.3313999999999746,11.91960000000001,9.374399999999994,9.290400000000021,2.4528000000000096,8.160599999999997,6.518399999999991,9.273600000000023,6.337799999999983,5.896799999999985,13.830599999999997,12.28080000000001,,7.486200000000002,7.339499999999994,-1.3313999999999746,13.830599999999997
